City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,sao joao da barra,-21.6403,-41.0511,22.62,94,7,7.83,BR,2023-08-23
80,sterling,39.0062,-77.4286,20.13,75,0,2.06,US,2023-08-23
81,kapaa,22.0752,-159.319,28.99,81,20,7.72,US,2023-08-23
82,praya,14.9215,-23.5087,26.3,94,20,3.6,CV,2023-08-23
83,qasigiannguit,68.8193,-51.1922,14.14,61,8,4.68,GL,2023-08-23
84,port blair,11.6667,92.75,27.02,89,100,1.03,IN,2023-08-23
85,qaanaaq,77.484,-69.3632,5.69,100,100,3.56,GL,2023-08-23
86,saint-pierre,-21.3393,55.4781,22.54,88,100,6.69,RE,2023-08-23
87,klaksvik,62.2266,-6.589,12.51,99,100,2.83,FO,2023-08-23
88,tado,5.266,-76.5649,22.45,97,100,0.55,CO,2023-08-23
89,shamary,57.3434,58.2199,10.86,72,86,2.44,RU,2023-08-23
90,ballina,-28.8667,153.5667,28.21,48,5,4.48,AU,2023-08-23
91,luganville,-15.5333,167.1667,24.46,83,100,5.87,VU,2023-08-23
92,constitucion,-35.3333,-72.4167,9.71,90,100,0.51,CL,2023-08-23
93,souillac,-20.5167,57.5167,23.23,80,61,7.98,MU,2023-08-23
94,chuy,-33.6971,-53.4616,9.09,90,92,1.71,UY,2023-08-23
95,bogorodskoye,56.55,37.8833,14.15,87,97,0.69,RU,2023-08-23
96,dryden,49.7833,-92.7503,14.29,94,100,3.74,CA,2023-08-23
97,east london,-33.0153,27.9116,15.74,70,5,6.46,ZA,2023-08-23
98,tocopilla,-22.092,-70.1979,17.36,73,27,2.73,CL,2023-08-23
99,saskylakh,71.9167,114.0833,12.56,48,11,1.26,RU,2023-08-23
100,ponta do sol,32.6667,-17.1,25.07,57,11,1.54,PT,2023-08-23
101,cerquilho,-23.165,-47.7436,18.76,49,0,0.71,BR,2023-08-23
102,marawi,7.9986,124.2928,26.53,68,93,2.32,PH,2023-08-23
103,castro,-24.7911,-50.0119,18.47,65,0,2.95,BR,2023-08-23
104,lasa,46.6166,10.7002,19.46,74,4,1.71,IT,2023-08-23
105,kawalu,-7.3817,108.2082,26.87,59,80,2.85,ID,2023-08-23
106,bakonyszentlaszlo,47.389,17.8032,22.34,72,38,1.92,HU,2023-08-23
107,hastings,50.8552,0.5729,16.4,41,75,1.93,GB,2023-08-23
108,sidrolandia,-20.9319,-54.9614,23.41,49,13,2.26,BR,2023-08-23
109,baykit,61.67,96.37,19.89,51,100,2.54,RU,2023-08-23
110,phalombe,-15.8064,35.6507,21.01,37,0,1.11,MW,2023-08-23
111,hobart,-42.8794,147.3294,14.92,55,75,5.66,AU,2023-08-23
112,melbu,68.5044,14.8297,12.88,100,75,1.54,NO,2023-08-23
113,georgetown,5.4112,100.3354,32.19,70,20,3.6,MY,2023-08-23
114,kaeo,-35.1,173.7833,13.51,81,100,1.6,NZ,2023-08-23
115,tasiilaq,65.6145,-37.6368,7.09,65,19,3.77,GL,2023-08-23
116,touros,-5.1989,-35.4608,25.87,72,53,5.07,BR,2023-08-23
117,lagoa,39.05,-27.9833,20.78,69,98,5.01,PT,2023-08-23
118,nikolskoye,59.7035,30.7861,14.95,91,100,1.16,RU,2023-08-23
119,saint-philippe,-21.3585,55.7679,21.77,89,73,6.97,RE,2023-08-23
120,rio gallegos,-51.6226,-69.2181,0.45,70,58,8.92,AR,2023-08-23
121,humaita,-7.5061,-63.0208,25.5,45,33,1.26,BR,2023-08-23
122,barwadih,23.8333,84.1167,28.42,79,98,1.73,IN,2023-08-23
